date, pm25, pm10, o3, no2, so2, co, aqi
2023/8/31, , , , , , , 55
2023/9/1, , , , , , , 62
2023/9/2, , , , , , , 60
2023/9/3, , , , , , , 60
2023/9/4, , , , , , , 75
2023/9/5, , , , , , , 58
2023/9/6, , , , , , , 59
2023/9/7, , , , , , , 60
2023/9/8, , , , , , , 75
2023/9/9, , , , , , , 63
2023/9/10, , , , , , , 42
2023/9/11, , , , , , , 51
2023/9/12, , , , , , , 66
2023/9/13, , , , , , , 72
2023/9/14, , , , , , , 74
2023/9/15, , , , , , , 74
2023/9/16, , , , , , , 74
2023/9/17, , , , , , , 73
2023/9/18, , , , , , , 67
2023/9/19, , , , , , , 60
2023/9/20, , , , , , , 59
2023/9/21, , , , , , , 54
2023/9/22, , , , , , , 50
2023/9/23, , , , , , , 49
2023/9/24, , , , , , , 47
2023/9/25, , , , , , , 45
2023/9/26, , , , , , , 52
2023/9/27, , , , , , , 64
2023/9/28, , , , , , , 74
2023/9/29, , , , , , , 94
2023/9/30, , , , , , , 89
2023/4/1, , , , , , , 64
2023/4/2, , , , , , , 74
2023/4/3, , , , , , , 67
2023/4/4, , , , , , , 67
2023/4/5, , , , , , , 63
2023/4/6, , , , , , , 62
2023/4/7, , , , , , , 66
2023/4/8, , , , , , , 74
2023/4/9, , , , , , , 69
2023/4/10, , , , , , , 65
2023/4/11, , , , , , , 78
2023/4/12, , , , , , , 85
2023/4/13, , , , , , , 87
2023/4/14, , , , , , , 82
2023/4/15, , , , , , , 84
2023/4/16, , , , , , , 95
2023/4/17, , , , , , , 129
2023/4/18, , , , , , , 88
2023/4/19, , , , , , , 82
2023/4/20, , , , , , , 73
2023/4/21, , , , , , , 68
2023/4/22, , , , , , , 77
2023/4/23, , , , , , , 62
2023/4/24, , , , , , , 51
2023/4/25, , , , , , , 57
2023/4/26, , , , , , , 54
2023/4/27, , , , , , , 52
2023/4/28, , , , , , , 57
2023/4/29, , , , , , , 55
2023/4/30, , , , , , , 55
2023/5/1, , , , , , , 51
2023/5/2, , , , , , , 52
2023/5/3, , , , , , , 52
2023/5/4, , , , , , , 53
2023/5/5, , , , , , , 56
2023/5/6, , , , , , , 51
2023/5/7, , , , , , , 47
2023/5/8, , , , , , , 59
2023/5/9, , , , , , , 64
2023/5/10, , , , , , , 66
2023/5/11, , , , , , , 72
2023/5/12, , , , , , , 69
2023/5/13, , , , , , , 68
2023/5/14, , , , , , , 74
2023/5/15, , , , , , , 72
2023/5/16, , , , , , , 69
2023/5/17, , , , , , , 65
2023/5/18, , , , , , , 59
2023/5/19, , , , , , , 47
2023/5/20, , , , , , , 57
2023/5/21, , , , , , , 55
2023/5/22, , , , , , , 56
2023/5/23, , , , , , , 60
2023/5/24, , , , , , , 59
2023/5/25, , , , , , , 62
2023/5/26, , , , , , , 77
2023/5/27, , , , , , , 54
2023/5/28, , , , , , , 57
2023/5/29, , , , , , , 57
2023/5/30, , , , , , , 69
2023/5/31, , , , , , , 64
2023/6/1, , , , , , , 48
2023/6/2, , , , , , , 55
2023/6/3, , , , , , , 67
2023/6/4, , , , , , , 60
2023/6/5, , , , , , , 54
2023/6/6, , , , , , , 48
2023/6/7, , , , , , , 50
2023/6/8, , , , , , , 62
2023/6/9, , , , , , , 68
2023/6/10, , , , , , , 73
2023/6/11, , , , , , , 67
2023/6/12, , , , , , , 63
2023/6/13, , , , , , , 61
2023/6/14, , , , , , , 75
2023/6/15, , , , , , , 68
2023/6/16, , , , , , , 71
2023/6/17, , , , , , , 76
2023/6/18, , , , , , , 62
2023/6/19, , , , , , , 56
2023/6/20, , , , , , , 64
2023/6/21, , , , , , , 66
2023/6/22, , , , , , , 78
2023/6/23, , , , , , , 70
2023/6/24, , , , , , , 57
2023/6/25, , , , , , , 58
2023/6/26, , , , , , , 58
2023/6/27, , , , , , , 60
2023/6/28, , , , , , , 56
2023/6/29, , , , , , , 59
2023/6/30, , , , , , , 54
2023/2/10, , , , , , , 59
2023/2/11, , , , , , , 62
2023/2/12, , , , , , , 61
2023/2/13, , , , , , , 55
2023/2/14, , , , , , , 53
2023/2/15, , , , , , , 55
2023/2/16, , , , , , , 56
2023/2/17, , , , , , , 58
2023/2/18, , , , , , , 55
2023/2/19, , , , , , , 50
2023/2/20, , , , , , , 55
2023/2/21, , , , , , , 57
2023/2/22, , , , , , , 57
2023/2/23, , , , , , , 66
2023/2/24, , , , , , , 65
2023/2/25, , , , , , , 66
2023/2/26, , , , , , , 65
2023/2/27, , , , , , , 62
2023/2/28, , , , , , , 67
2023/3/1, , , , , , , 66
2023/3/2, , , , , , , 61
2023/3/3, , , , , , , 60
2023/3/4, , , , , , , 59
2023/3/5, , , , , , , 58
2023/3/6, , , , , , , 61
2023/3/7, , , , , , , 64
2023/3/8, , , , , , , 66
2023/3/9, , , , , , , 72
2023/3/10, , , , , , , 70
2023/3/11, , , , , , , 62
2023/3/12, , , , , , , 60
2023/3/13, , , , , , , 66
2023/3/14, , , , , , , 68
2023/3/15, , , , , , , 69
2023/3/16, , , , , , , 75
2023/3/17, , , , , , , 74
2023/3/18, , , , , , , 75
2023/3/19, , , , , , , 70
2023/3/20, , , , , , , 69
2023/3/21, , , , , , , 70
2023/3/22, , , , , , , 68
2023/3/23, , , , , , , 61
2023/3/24, , , , , , , 58
2023/3/25, , , , , , , 57
2023/3/26, , , , , , , 58
2023/3/27, , , , , , , 58
2023/3/28, , , , , , , 60
2023/3/29, , , , , , , 65
2023/3/30, , , , , , , 63
2023/3/31, , , , , , , 64
2022/10/1, , , , , , , 33
2022/10/2, , , , , , , 30
2022/10/3, , , , , , , 41
2022/10/4, , , , , , , 42
2022/10/5, , , , , , , 39
2022/10/6, , , , , , , 44
2022/10/7, , , , , , , 52
2022/10/8, , , , , , , 43
2022/10/9, , , , , , , 40
2022/10/10, , , , , , , 50
2022/10/11, , , , , , , 54
2022/10/12, , , , , , , 51
2022/10/13, , , , , , , 48
2022/10/14, , , , , , , 49
2022/10/15, , , , , , , 38
2022/10/16, , , , , , , 24
2022/10/17, , , , , , , 32
2022/10/18, , , , , , , 46
2022/10/19, , , , , , , 44
2022/10/20, , , , , , , 39
2022/10/21, , , , , , , 59
2022/10/22, , , , , , , 55
2022/10/23, , , , , , , 46
2022/10/24, , , , , , , 48
2022/10/25, , , , , , , 41
2022/10/26, , , , , , , 46
2022/10/27, , , , , , , 45
2022/10/28, , , , , , , 49
2022/10/29, , , , , , , 49
2022/10/30, , , , , , , 46
2022/10/31, , , , , , , 45
2022/11/1, , , , , , , 52
2022/11/2, , , , , , , 50
2022/11/3, , , , , , , 51
2022/11/4, , , , , , , 51
2022/11/5, , , , , , , 45
2022/11/6, , , , , , , 53
2022/11/7, , , , , , , 47
2022/11/8, , , , , , , 48
2022/11/9, , , , , , , 55
2022/11/10, , , , , , , 52
2022/11/11, , , , , , , 41
2022/11/12, , , , , , , 35
2022/11/13, , , , , , , 53
2022/11/14, , , , , , , 43
2022/11/15, , , , , , , 47
2022/11/16, , , , , , , 61
2022/11/17, , , , , , , 52
2022/11/18, , , , , , , 46
2022/11/19, , , , , , , 39
2022/11/20, , , , , , , 37
2022/11/21, , , , , , , 35
2022/7/1, , , , , , , 51
2022/7/2, , , , , , , 59
2022/7/3, , , , , , , 57
2022/7/4, , , , , , , 66
2022/7/5, , , , , , , 57
2022/7/6, , , , , , , 62
2022/7/7, , , , , , , 60
2022/7/8, , , , , , , 76
2022/7/9, , , , , , , 76
2022/7/10, , , , , , , 71
2022/7/11, , , , , , , 60
2022/7/12, , , , , , , 47
2022/7/13, , , , , , , 51
2022/7/14, , , , , , , 48
2022/7/15, , , , , , , 55
2022/7/16, , , , , , , 61
2022/7/17, , , , , , , 72
2022/7/18, , , , , , , 82
2022/7/19, , , , , , , 69
2022/7/20, , , , , , , 54
2022/7/21, , , , , , , 58
2022/7/22, , , , , , , 61
2022/7/23, , , , , , , 55
2022/7/24, , , , , , , 43
2022/7/25, , , , , , , 39
2022/7/26, , , , , , , 52
2022/7/27, , , , , , , 57
2022/7/28, , , , , , , 55
2022/7/29, , , , , , , 54
2022/7/30, , , , , , , 61
2022/7/31, , , , , , , 59
2022/8/1, , , , , , , 66
2022/8/2, , , , , , , 65
2022/8/3, , , , , , , 59
2022/8/4, , , , , , , 58
2022/8/5, , , , , , , 61
2022/8/6, , , , , , , 62
2022/8/7, , , , , , , 62
2022/8/8, , , , , , , 76
2022/8/9, , , , , , , 68
2022/8/10, , , , , , , 83
2022/8/11, , , , , , , 83
2022/8/12, , , , , , , 88
2022/8/13, , , , , , , 89
2022/8/14, , , , , , , 67
2022/8/15, , , , , , , 61
2022/8/16, , , , , , , 58
2022/8/17, , , , , , , 64
2022/8/18, , , , , , , 50
2022/8/19, , , , , , , 50
2022/8/20, , , , , , , 57
2022/8/21, , , , , , , 57
2022/8/22, , , , , , , 48
2022/8/23, , , , , , , 53
2022/8/24, , , , , , , 47
2022/8/25, , , , , , , 58
2022/8/26, , , , , , , 54
2022/8/27, , , , , , , 56
2022/8/28, , , , , , , 54
2022/8/29, , , , , , , 47
2022/8/30, , , , , , , 52
2022/8/31, , , , , , , 47
2022/9/1, , , , , , , 53
2022/9/2, , , , , , , 50
2022/9/3, , , , , , , 36
2022/9/4, , , , , , , 42
2022/9/5, , , , , , , 55
2022/9/6, , , , , , , 56
2022/9/7, , , , , , , 53
2022/9/8, , , , , , , 54
2022/9/9, , , , , , , 60
2022/9/10, , , , , , , 64
2022/9/11, , , , , , , 64
2022/9/12, , , , , , , 57
2022/9/13, , , , , , , 54
2022/9/14, , , , , , , 53
2022/9/15, , , , , , , 52
2022/9/16, , , , , , , 49
2022/9/17, , , , , , , 50
2022/9/18, , , , , , , 38
2022/9/19, , , , , , , 46
2022/9/20, , , , , , , 58
2022/9/21, , , , , , , 44
2022/9/22, , , , , , , 44
2022/9/23, , , , , , , 44
2022/9/24, , , , , , , 51
2022/9/25, , , , , , , 49
2022/9/26, , , , , , , 52
2022/9/27, , , , , , , 54
2022/9/28, , , , , , , 56
2022/9/29, , , , , , , 50
2022/9/30, , , , , , , 48
2022/4/1, , , , , , , 64
2022/4/2, , , , , , , 58
2022/4/3, , , , , , , 52
2022/4/4, , , , , , , 52
2022/4/5, , , , , , , 46
2022/4/6, , , , , , , 53
2022/4/7, , , , , , , 44
2022/4/8, , , , , , , 51
2022/4/9, , , , , , , 55
2022/4/10, , , , , , , 56
2022/4/11, , , , , , , 64
2022/4/12, , , , , , , 64
2022/4/13, , , , , , , 63
2022/4/14, , , , , , , 67
2022/4/15, , , , , , , 64
2022/4/16, , , , , , , 60
2022/4/17, , , , , , , 60
2022/4/18, , , , , , , 55
2022/4/19, , , , , , , 54
2022/4/20, , , , , , , 52
2022/4/21, , , , , , , 58
2022/4/22, , , , , , , 66
2022/4/23, , , , , , , 60
2022/4/24, , , , , , , 51
2022/4/25, , , , , , , 58
2022/4/26, , , , , , , 58
2022/4/27, , , , , , , 53
2022/4/28, , , , , , , 57
2022/4/29, , , , , , , 59
2022/4/30, , , , , , , 62
2022/5/1, , , , , , , 60
2022/5/2, , , , , , , 63
2022/5/3, , , , , , , 52
2022/5/4, , , , , , , 45
2022/5/5, , , , , , , 56
2022/5/6, , , , , , , 53
2022/5/7, , , , , , , 49
2022/5/8, , , , , , , 49
2022/5/9, , , , , , , 46
2022/5/10, , , , , , , 64
2022/5/11, , , , , , , 62
2022/5/12, , , , , , , 52
2022/5/13, , , , , , , 53
2022/5/14, , , , , , , 57
2022/5/15, , , , , , , 50
2022/5/16, , , , , , , 43
2022/5/17, , , , , , , 43
2022/5/18, , , , , , , 55
2022/5/19, , , , , , , 58
2022/5/20, , , , , , , 50
2022/5/21, , , , , , , 49
2022/5/22, , , , , , , 53
2022/5/23, , , , , , , 57
2022/5/24, , , , , , , 62
2022/5/25, , , , , , , 64
2022/5/26, , , , , , , 58
2022/5/27, , , , , , , 55
2022/5/28, , , , , , , 49
2022/5/29, , , , , , , 52
2022/5/30, , , , , , , 40
2022/5/31, , , , , , , 47
2022/6/1, , , , , , , 50
2022/6/2, , , , , , , 49
2022/6/3, , , , , , , 59
2022/6/4, , , , , , , 54
2022/6/5, , , , , , , 53
2022/6/6, , , , , , , 59
2022/6/7, , , , , , , 62
2022/6/8, , , , , , , 50
2022/6/9, , , , , , , 51
2022/6/10, , , , , , , 40
2022/6/11, , , , , , , 36
2022/6/12, , , , , , , 31
2022/6/13, , , , , , , 44
2022/6/14, , , , , , , 51
2022/6/15, , , , , , , 53
2022/6/16, , , , , , , 50
2022/6/17, , , , , , , 49
2022/6/18, , , , , , , 52
2022/6/19, , , , , , , 47
2022/6/20, , , , , , , 49
2022/6/21, , , , , , , 46
2022/6/22, , , , , , , 47
2022/6/23, , , , , , , 41
2022/6/24, , , , , , , 42
2022/6/25, , , , , , , 45
2022/6/26, , , , , , , 56
2022/6/27, , , , , , , 56
2022/6/28, , , , , , , 51
2022/6/29, , , , , , , 53
2022/6/30, , , , , , , 37
2022/1/3, , , , , , , 52
2022/1/4, , , , , , , 54
2022/1/5, , , , , , , 58
2022/1/6, , , , , , , 57
2022/1/7, , , , , , , 61
2022/1/8, , , , , , , 58
2022/1/9, , , , , , , 61
2022/1/10, , , , , , , 58
2022/1/11, , , , , , , 63
2022/1/12, , , , , , , 66
2022/1/13, , , , , , , 60
2022/1/14, , , , , , , 58
2022/1/15, , , , , , , 61
2022/1/16, , , , , , , 65
2022/1/17, , , , , , , 57
2022/1/18, , , , , , , 55
2022/1/19, , , , , , , 63
2022/1/20, , , , , , , 66
2022/1/21, , , , , , , 73
2022/1/22, , , , , , , 68
2022/1/27, , , , , , , 75
2022/1/28, , , , , , , 76
2022/1/29, , , , , , , 88
2022/1/30, , , , , , , 84
2022/1/31, , , , , , , 71
2022/2/1, , , , , , , 84
2022/2/2, , , , , , , 73
2022/2/3, , , , , , , 73
2022/2/4, , , , , , , 66
2022/2/5, , , , , , , 51
2022/2/6, , , , , , , 50
2022/2/7, , , , , , , 47
2022/2/8, , , , , , , 54
2022/2/9, , , , , , , 69
2022/2/10, , , , , , , 62
2022/2/11, , , , , , , 58
2022/2/12, , , , , , , 66
2022/2/13, , , , , , , 61
2022/2/14, , , , , , , 45
2022/2/15, , , , , , , 52
2022/2/16, , , , , , , 58
2022/2/17, , , , , , , 55
2022/2/18, , , , , , , 68
2022/2/19, , , , , , , 62
2022/2/20, , , , , , , 56
2022/2/21, , , , , , , 54
2022/2/22, , , , , , , 50
2022/2/23, , , , , , , 57
2022/2/24, , , , , , , 51
2022/2/25, , , , , , , 41
2022/2/26, , , , , , , 30
2022/2/27, , , , , , , 37
2022/2/28, , , , , , , 41
2022/3/1, , , , , , , 43
2022/3/2, , , , , , , 55
2022/3/3, , , , , , , 53
2022/3/4, , , , , , , 57
2022/3/5, , , , , , , 54
2022/3/6, , , , , , , 46
2022/3/7, , , , , , , 42
2022/3/8, , , , , , , 45
2022/3/9, , , , , , , 35
2022/3/10, , , , , , , 39
2022/3/11, , , , , , , 51
2022/3/12, , , , , , , 69
2022/3/13, , , , , , , 80
2022/3/14, , , , , , , 69
2022/3/15, , , , , , , 57
2022/3/16, , , , , , , 55
2022/3/17, , , , , , , 49
2022/3/18, , , , , , , 45
2022/3/19, , , , , , , 53
2022/3/20, , , , , , , 60
2022/3/21, , , , , , , 53
2022/3/22, , , , , , , 56
2022/3/23, , , , , , , 57
2022/3/24, , , , , , , 64
2022/3/25, , , , , , , 73
2022/3/26, , , , , , , 60
2022/3/27, , , , , , , 57
2022/3/28, , , , , , , 55
2022/3/29, , , , , , , 48
2022/3/30, , , , , , , 58
2022/3/31, , , , , , , 56
2021/10/1, , , , , , , 53
2021/10/2, , , , , , , 49
2021/10/3, , , , , , , 74
2021/10/4, , , , , , , 74
2021/10/5, , , , , , , 56
2021/10/6, , , , , , , 38
2021/10/7, , , , , , , 42
2021/10/8, , , , , , , 41
2021/10/9, , , , , , , 53
2021/10/10, , , , , , , 55
2021/10/11, , , , , , , 56
2021/10/12, , , , , , , 64
2021/10/13, , , , , , , 67
2021/10/14, , , , , , , 60
2021/10/15, , , , , , , 67
2021/10/16, , , , , , , 77
2021/10/17, , , , , , , 70
2021/10/18, , , , , , , 51
2021/10/19, , , , , , , 52
2021/10/20, , , , , , , 43
2021/10/21, , , , , , , 32
2021/10/22, , , , , , , 52
2021/10/23, , , , , , , 49
2021/10/24, , , , , , , 43
2021/10/25, , , , , , , 45
2021/10/26, , , , , , , 58
2021/10/27, , , , , , , 50
2021/10/28, , , , , , , 57
2021/10/29, , , , , , , 52
2021/10/30, , , , , , , 53
2021/10/31, , , , , , , 48
2021/11/1, , , , , , , 53
2021/11/2, , , , , , , 54
2021/11/3, , , , , , , 50
2021/11/4, , , , , , , 61
2021/11/5, , , , , , , 53
2021/11/6, , , , , , , 52
2021/11/7, , , , , , , 38
2021/11/8, , , , , , , 49
2021/11/9, , , , , , , 49
2021/11/10, , , , , , , 41
2021/11/11, , , , , , , 38
2021/11/12, , , , , , , 48
2021/11/13, , , , , , , 33
2021/11/14, , , , , , , 34
2021/11/15, , , , , , , 50
2021/11/16, , , , , , , 61
2021/11/17, , , , , , , 52
2021/11/18, , , , , , , 39
2021/11/19, , , , , , , 37
2021/11/20, , , , , , , 37
2021/11/21, , , , , , , 47
2021/11/22, , , , , , , 48
2021/11/23, , , , , , , 48
2021/11/24, , , , , , , 50
2021/11/25, , , , , , , 58
2021/11/26, , , , , , , 48
2021/11/27, , , , , , , 48
2021/11/28, , , , , , , 63
2021/11/29, , , , , , , 53
2021/11/30, , , , , , , 44
2021/12/1, , , , , , , 51
2021/12/2, , , , , , , 53
2021/12/3, , , , , , , 43
2021/12/4, , , , , , , 55
2021/12/5, , , , , , , 57
2021/12/6, , , , , , , 56
2021/12/7, , , , , , , 61
2021/12/8, , , , , , , 58
2021/12/9, , , , , , , 55
2021/12/10, , , , , , , 55
2021/12/11, , , , , , , 56
2021/12/12, , , , , , , 55
2021/12/13, , , , , , , 57
2021/12/14, , , , , , , 57
2021/12/15, , , , , , , 53
2021/12/16, , , , , , , 55
2021/12/27, , , , , , , 55
2021/12/28, , , , , , , 63
2021/12/29, , , , , , , 63
2021/12/30, , , , , , , 50
2021/12/31, , , , , , , 42
2022/1/1, , , , , , , 52
2022/1/2, , , , , , , 49
2021/7/1, , , , , , , 50
2021/7/2, , , , , , , 53
2021/7/3, , , , , , , 50
2021/7/4, , , , , , , 51
2021/7/5, , , , , , , 46
2021/7/6, , , , , , , 40
2021/7/7, , , , , , , 48
2021/7/8, , , , , , , 62
2021/7/9, , , , , , , 64
2021/7/10, , , , , , , 42
2021/7/11, , , , , , , 21
2021/7/12, , , , , , , 21
2021/7/13, , , , , , , 47
2021/7/14, , , , , , , 55
2021/7/15, , , , , , , 64
2021/7/16, , , , , , , 69
2021/7/17, , , , , , , 72
2021/7/18, , , , , , , 82
2021/7/19, , , , , , , 83
2021/7/20, , , , , , , 75
2021/7/21, , , , , , , 73
2021/7/22, , , , , , , 72
2021/7/23, , , , , , , 59
2021/7/24, , , , , , , 64
2021/7/25, , , , , , , 68
2021/7/26, , , , , , , 73
2021/7/27, , , , , , , 73
2021/7/28, , , , , , , 66
2021/7/29, , , , , , , 64
2021/7/30, , , , , , , 57
2021/7/31, , , , , , , 34
2021/8/1, , , , , , , 43
2021/8/2, , , , , , , 29
2021/8/3, , , , , , , 46
2021/8/4, , , , , , , 46
2021/8/5, , , , , , , 57
2021/8/6, , , , , , , 66
2021/8/7, , , , , , , 76
2021/8/8, , , , , , , 66
2021/8/9, , , , , , , 47
2021/8/10, , , , , , , 30
2021/8/11, , , , , , , 33
2021/8/12, , , , , , , 50
2021/8/13, , , , , , , 67
2021/8/14, , , , , , , 64
2021/8/15, , , , , , , 60
2021/8/16, , , , , , , 52
2021/8/17, , , , , , , 46
2021/8/18, , , , , , , 45
2021/8/19, , , , , , , 35
2021/8/20, , , , , , , 37
2021/8/21, , , , , , , 49
2021/8/22, , , , , , , 59
2021/9/9, , , , , , , 49
2021/9/10, , , , , , , 41
2021/9/11, , , , , , , 62
2021/9/12, , , , , , , 65
2021/9/13, , , , , , , 51
2021/9/14, , , , , , , 52
2021/9/15, , , , , , , 63
2021/9/16, , , , , , , 67
2021/9/17, , , , , , , 60
2021/9/18, , , , , , , 68
2021/9/19, , , , , , , 55
2021/9/20, , , , , , , 41
2021/9/21, , , , , , , 40
2021/9/22, , , , , , , 45
2021/9/23, , , , , , , 55
2021/9/24, , , , , , , 71
2021/9/25, , , , , , , 74
2021/9/26, , , , , , , 63
2021/9/27, , , , , , , 36
2021/9/28, , , , , , , 43
2021/9/29, , , , , , , 36
2021/9/30, , , , , , , 43
2021/4/1, , , , , , , 59
2021/4/2, , , , , , , 54
2021/4/3, , , , , , , 49
2021/4/4, , , , , , , 51
2021/4/5, , , , , , , 57
2021/4/6, , , , , , , 66
2021/4/7, , , , , , , 62
2021/4/8, , , , , , , 60
2021/4/9, , , , , , , 57
2021/4/10, , , , , , , 63
2021/4/11, , , , , , , 62
2021/4/12, , , , , , , 56
2021/4/13, , , , , , , 62
2021/4/14, , , , , , , 58
2021/4/15, , , , , , , 53
2021/4/16, , , , , , , 54
2021/4/17, , , , , , , 40
2021/4/18, , , , , , , 43
2021/4/19, , , , , , , 51
2021/4/20, , , , , , , 31
2021/4/21, , , , , , , 45
2021/4/22, , , , , , , 51
2021/4/23, , , , , , , 47
2021/4/24, , , , , , , 42
2021/4/25, , , , , , , 44
2021/4/26, , , , , , , 49
2021/4/27, , , , , , , 40
2021/4/28, , , , , , , 49
2021/4/29, , , , , , , 48
2021/4/30, , , , , , , 51
2021/5/1, , , , , , , 51
2021/5/2, , , , , , , 51
2021/5/3, , , , , , , 44
2021/5/4, , , , , , , 45
2021/5/5, , , , , , , 52
2021/5/6, , , , , , , 52
2021/5/7, , , , , , , 46
2021/5/19, , , , , , , 49
2021/5/20, , , , , , , 44
2021/5/21, , , , , , , 54
2021/5/22, , , , , , , 52
2021/5/23, , , , , , , 55
2021/5/24, , , , , , , 56
2021/5/25, , , , , , , 61
2021/5/26, , , , , , , 61
2021/5/27, , , , , , , 48
2021/5/28, , , , , , , 39
2021/5/29, , , , , , , 54
2021/5/30, , , , , , , 57
2021/5/31, , , , , , , 56
2021/6/1, , , , , , , 55
2021/6/2, , , , , , , 55
2021/6/3, , , , , , , 59
2021/6/4, , , , , , , 54
2021/6/5, , , , , , , 50
2021/6/6, , , , , , , 45
2021/6/7, , , , , , , 55
2021/6/8, , , , , , , 60
2021/6/9, , , , , , , 60
2021/6/10, , , , , , , 59
2021/6/11, , , , , , , 48
2021/6/12, , , , , , , 57
2021/6/13, , , , , , , 62
2021/6/14, , , , , , , 63
2021/6/15, , , , , , , 60
2021/6/16, , , , , , , 56
2021/6/17, , , , , , , 60
2021/6/18, , , , , , , 58
2021/6/19, , , , , , , 61
2021/6/20, , , , , , , 55
2021/6/21, , , , , , , 41
2021/6/22, , , , , , , 53
2021/6/23, , , , , , , 56
2021/6/24, , , , , , , 56
2021/6/25, , , , , , , 47
2021/6/26, , , , , , , 45
2021/6/27, , , , , , , 51
2021/6/28, , , , , , , 53
2021/6/29, , , , , , , 50
2021/6/30, , , , , , , 36
2021/1/4, , , , , , , 58
2021/1/5, , , , , , , 53
2021/1/6, , , , , , , 47
2021/1/7, , , , , , , 46
2021/1/8, , , , , , , 47
2021/1/9, , , , , , , 44
2021/1/10, , , , , , , 45
2021/1/11, , , , , , , 51
2021/1/12, , , , , , , 53
2021/1/13, , , , , , , 52
2021/1/14, , , , , , , 55
2021/1/15, , , , , , , 55
2021/1/16, , , , , , , 58
2021/1/17, , , , , , , 55
2021/1/18, , , , , , , 61
2021/1/19, , , , , , , 70
2021/1/20, , , , , , , 66
2021/1/21, , , , , , , 70
2021/1/22, , , , , , , 65
2021/1/23, , , , , , , 74
2021/1/24, , , , , , , 79
2021/1/25, , , , , , , 62
2021/1/26, , , , , , , 60
2021/1/27, , , , , , , 63
2021/1/28, , , , , , , 59
2021/1/29, , , , , , , 56
2021/1/30, , , , , , , 58
2021/1/31, , , , , , , 68
2021/2/1, , , , , , , 62
2021/2/2, , , , , , , 52
2021/2/3, , , , , , , 57
2021/2/4, , , , , , , 65
2021/2/5, , , , , , , 59
2021/2/6, , , , , , , 62
2021/2/7, , , , , , , 67
2021/2/8, , , , , , , 58
2021/2/9, , , , , , , 59
2021/2/10, , , , , , , 59
2021/2/11, , , , , , , 57
2021/2/12, , , , , , , 55
2021/2/13, , , , , , , 59
2021/2/14, , , , , , , 55
2021/2/15, , , , , , , 61
2021/2/16, , , , , , , 67
2021/2/17, , , , , , , 73
2021/2/18, , , , , , , 70
2021/2/19, , , , , , , 57
2021/2/20, , , , , , , 54
2021/2/21, , , , , , , 57
2021/2/22, , , , , , , 60
2021/2/23, , , , , , , 67
2021/2/24, , , , , , , 75
2021/2/25, , , , , , , 81
2021/2/26, , , , , , , 67
2021/2/27, , , , , , , 68
2021/2/28, , , , , , , 63
2021/3/1, , , , , , , 60
2021/3/2, , , , , , , 81
2021/3/3, , , , , , , 74
2021/3/4, , , , , , , 61
2021/3/5, , , , , , , 67
2021/3/6, , , , , , , 64
2021/3/7, , , , , , , 59
2021/3/8, , , , , , , 56
2021/3/9, , , , , , , 59
2021/3/10, , , , , , , 67
2021/3/11, , , , , , , 63
2021/3/12, , , , , , , 62
2021/3/13, , , , , , , 61
2021/3/14, , , , , , , 56
2021/3/15, , , , , , , 58
2021/3/16, , , , , , , 59
2021/3/17, , , , , , , 59
2021/3/18, , , , , , , 59
2021/3/19, , , , , , , 67
2021/3/20, , , , , , , 72
2021/3/21, , , , , , , 73
2021/3/22, , , , , , , 63
2021/3/23, , , , , , , 62
2021/3/24, , , , , , , 53
2021/3/25, , , , , , , 56
2021/3/26, , , , , , , 58
2021/3/29, , , , , , , 45
2021/3/30, , , , , , , 53
2021/3/31, , , , , , , 60
2020/10/1, , , , , , , 60
2020/10/2, , , , , , , 54
2020/10/3, , , , , , , 44
2020/10/4, , , , , , , 38
2020/10/5, , , , , , , 50
2020/10/6, , , , , , , 49
2020/10/7, , , , , , , 43
2020/10/8, , , , , , , 35
2020/10/9, , , , , , , 46
2020/10/10, , , , , , , 45
2020/10/11, , , , , , , 47
2020/10/12, , , , , , , 48
2020/10/13, , , , , , , 46
2020/10/14, , , , , , , 50
2020/10/15, , , , , , , 61
2020/10/16, , , , , , , 55
2020/10/17, , , , , , , 63
2020/10/18, , , , , , , 62
2020/10/19, , , , , , , 59
2020/10/20, , , , , , , 66
2020/10/21, , , , , , , 60
2020/10/22, , , , , , , 49
2020/10/23, , , , , , , 43
2020/10/24, , , , , , , 53
2020/10/25, , , , , , , 47
2020/10/26, , , , , , , 36
2020/10/27, , , , , , , 55
2020/10/28, , , , , , , 46
2020/10/29, , , , , , , 41
2020/10/30, , , , , , , 50
2020/10/31, , , , , , , 73
2020/11/1, , , , , , , 46
2020/11/2, , , , , , , 48
2020/11/3, , , , , , , 47
2020/11/4, , , , , , , 38
2020/11/5, , , , , , , 59
2020/11/6, , , , , , , 59
2020/11/7, , , , , , , 62
2020/11/8, , , , , , , 61
2020/11/9, , , , , , , 40
2020/11/10, , , , , , , 53
2020/11/11, , , , , , , 59
2020/11/12, , , , , , , 58
2020/11/13, , , , , , , 64
2020/11/14, , , , , , , 46
2020/11/15, , , , , , , 39
2020/11/16, , , , , , , 48
2020/11/17, , , , , , , 56
2020/11/18, , , , , , , 52
2020/11/19, , , , , , , 48
2020/11/20, , , , , , , 45
2020/11/21, , , , , , , 46
2020/11/22, , , , , , , 40
2020/11/23, , , , , , , 35
2020/11/24, , , , , , , 49
2020/11/25, , , , , , , 55
2020/11/26, , , , , , , 54
2020/11/27, , , , , , , 52
